,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
621,621,311,흥국생명,1,116,61,96,44,4,2,0.46,47,21,3,1,0.45,3,0,1,0,0.0,4,1,0,0,0.25,7,3,0,0,0.43,12,6,0,0,0.5,23,13,0,1,0.57,73,7,4,0.1,56,50,6,0,16.66,97,40,3,13.33,54,24,3,154.65,66,10,22,24,1,3.33,7,0,10,1,IBK기업은행,1,0.89,0.41,0.44,0.15,75,60
622,622,312,GS칼텍스,0,129,76,154,63,9,15,0.41,70,26,3,6,0.37,4,1,2,0,0.25,0,0,0,0,,17,4,1,5,0.24,3,2,0,0,0.67,60,30,3,4,0.5,98,4,9,0.04,95,79,16,0,21.0,158,57,0,14.25,91,42,3,159.3,69,9,27,24,1,2.42,8,0,25,0,현대건설,0,0.83,0.36,0.46,0.13,97,98
623,623,312,현대건설,1,121,73,151,61,9,10,0.4,78,25,6,8,0.32,12,5,0,0,0.42,3,1,0,0,0.33,16,8,0,1,0.5,19,8,1,1,0.42,23,14,2,0,0.61,97,3,6,0.03,89,73,15,1,18.25,151,59,2,14.75,89,30,4,188.87,77,9,26,29,2,2.25,7,0,21,1,GS칼텍스,5,0.82,0.39,0.34,0.12,98,97
624,624,313,KGC인삼공사,1,112,81,161,66,8,12,0.41,90,35,5,7,0.39,3,1,0,0,0.33,5,3,0,0,0.6,27,10,1,4,0.37,8,2,0,0,0.25,28,15,2,1,0.54,98,4,8,0.04,113,94,19,0,18.85,169,59,2,13.4,91,33,3,202.13,74,11,39,17,0,2.2,8,0,22,0,한국도로공사,4,0.83,0.35,0.36,0.15,98,96
625,625,313,한국도로공사,0,130,74,167,63,11,9,0.38,104,41,6,3,0.39,6,1,1,0,0.17,9,4,1,1,0.44,27,10,1,5,0.37,6,2,1,0,0.33,15,5,1,0,0.33,96,3,5,0.03,99,83,16,0,17.03,162,55,1,11.0,90,39,4,232.26,79,8,28,30,2,1.6,8,0,17,1,KGC인삼공사,2,0.84,0.34,0.43,0.1,96,98
626,626,314,IBK기업은행,0,115,81,177,72,9,16,0.41,105,41,3,9,0.39,4,1,0,1,0.25,3,1,0,0,0.33,36,17,2,4,0.47,10,6,0,2,0.6,19,6,4,0,0.32,93,2,7,0.02,118,94,24,0,19.05,180,68,0,15.2,102,35,6,238.02,67,7,30,18,0,1.4,4,0,23,1,한국도로공사,3,0.8,0.38,0.34,0.1,94,104
627,627,314,한국도로공사,1,128,81,162,66,7,7,0.41,84,33,3,4,0.39,3,2,0,0,0.67,6,3,2,0,0.5,26,10,1,1,0.38,5,3,0,0,0.6,38,15,1,2,0.39,105,6,3,0.06,117,92,25,0,19.2,164,62,0,12.4,86,40,2,155.93,73,9,24,26,3,1.8,8,0,13,0,IBK기업은행,2,0.79,0.38,0.47,0.12,104,94
628,628,315,KGC인삼공사,0,95,87,187,74,11,14,0.4,91,32,4,8,0.35,7,3,1,0,0.43,4,2,1,0,0.5,38,16,3,3,0.42,14,6,1,1,0.43,33,15,1,2,0.45,103,4,9,0.04,122,96,26,0,19.25,182,68,0,13.6,107,47,6,178.54,71,9,36,19,1,1.8,7,0,24,1,흥국생명,4,0.79,0.37,0.44,0.13,102,110
629,629,315,흥국생명,1,141,86,161,69,9,9,0.43,86,32,6,5,0.37,7,5,0,0,0.71,6,2,0,0,0.33,16,9,0,2,0.56,8,2,2,1,0.25,38,19,1,1,0.5,109,6,2,0.06,112,93,18,1,19.17,169,65,2,13.899999999999999,94,37,4,348.35,94,11,35,33,1,2.2,6,0,15,0,KGC인삼공사,1,0.83,0.38,0.39,0.12,110,102
630,630,316,IBK기업은행,1,102,75,141,58,5,10,0.41,80,33,2,5,0.41,7,2,1,0,0.29,8,3,0,0,0.38,25,11,2,4,0.44,6,2,0,0,0.33,15,7,0,1,0.47,100,9,6,0.09,100,72,28,0,21.75,142,55,0,13.75,85,28,6,109.1,60,8,23,19,0,2.75,6,0,16,1,현대건설,3,0.72,0.39,0.33,0.13,101,91
