,index,팀명,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯
26,158,KGC인삼공사,21.2,0.8400000000000001,0.398,0.33799999999999997,0.166,0.312,0.044
26,159,한국도로공사,20.8,0.852,0.488,0.39,0.10400000000000001,0.36,0.05
26,160,GS칼텍스,19.8,0.8379999999999999,0.42400000000000004,0.376,0.10800000000000001,0.352,0.05600000000000001
27,161,흥국생명,22.6,0.8140000000000001,0.378,0.34199999999999997,0.09999999999999999,0.31,0.05800000000000001
27,162,IBK기업은행,18.6,0.868,0.33999999999999997,0.41200000000000003,0.13,0.386,0.03799999999999999
26,163,현대건설,18.4,0.85,0.42000000000000004,0.37,0.16,0.348,0.06400000000000002
27,164,한국도로공사,19.2,0.858,0.5,0.404,0.092,0.37600000000000006,0.05800000000000001
27,165,현대건설,18.8,0.8540000000000001,0.454,0.348,0.148,0.328,0.068
27,166,GS칼텍스,18.4,0.8379999999999999,0.40599999999999997,0.392,0.13399999999999998,0.368,0.054000000000000006
27,167,KGC인삼공사,20.6,0.8400000000000001,0.42000000000000004,0.318,0.144,0.292,0.033999999999999996
28,168,한국도로공사,18.4,0.874,0.506,0.39399999999999996,0.096,0.372,0.072
28,169,흥국생명,21.4,0.826,0.39599999999999996,0.348,0.098,0.316,0.054000000000000006
28,170,KGC인삼공사,19.8,0.834,0.43,0.316,0.12,0.28600000000000003,0.034
28,171,현대건설,20.8,0.8559999999999999,0.43600000000000005,0.336,0.122,0.31,0.06
28,172,GS칼텍스,17.4,0.8220000000000001,0.41400000000000003,0.40199999999999997,0.154,0.378,0.05600000000000001
28,173,IBK기업은행,17.6,0.8639999999999999,0.374,0.41200000000000003,0.138,0.39,0.048
29,174,GS칼텍스,18.8,0.8320000000000001,0.44000000000000006,0.4,0.166,0.372,0.06000000000000001
29,175,한국도로공사,17.2,0.8699999999999999,0.508,0.38999999999999996,0.08,0.368,0.076
29,176,IBK기업은행,17.0,0.858,0.378,0.41200000000000003,0.138,0.38800000000000007,0.041999999999999996
29,177,KGC인삼공사,20.6,0.826,0.44399999999999995,0.324,0.11800000000000002,0.296,0.046000000000000006
29,178,현대건설,22.0,0.852,0.43999999999999995,0.324,0.12600000000000003,0.29800000000000004,0.052000000000000005
29,179,흥국생명,21.6,0.842,0.41200000000000003,0.33,0.10400000000000001,0.30200000000000005,0.048
30,180,IBK기업은행,16.6,0.852,0.396,0.40800000000000003,0.148,0.39,0.044000000000000004
30,181,현대건설,22.0,0.8379999999999999,0.422,0.32999999999999996,0.11200000000000002,0.3,0.05
31,182,IBK기업은행,17.0,0.858,0.402,0.4,0.136,0.376,0.044000000000000004
31,183,현대건설,21.8,0.834,0.394,0.314,0.11199999999999999,0.282,0.05800000000000001
32,184,IBK기업은행,17.6,0.858,0.404,0.39,0.134,0.366,0.052000000000000005
32,185,현대건설,23.0,0.834,0.36000000000000004,0.32,0.122,0.288,0.062
33,186,IBK기업은행,18.4,0.858,0.398,0.39,0.13,0.358,0.054000000000000006
30,187,한국도로공사,16.2,0.8480000000000001,0.49800000000000005,0.368,0.094,0.35000000000000003,0.07200000000000001
34,188,IBK기업은행,20.8,0.8619999999999999,0.422,0.388,0.12,0.356,0.057999999999999996
31,189,한국도로공사,18.0,0.868,0.496,0.38,0.1,0.362,0.072
35,190,IBK기업은행,22.0,0.8460000000000001,0.41600000000000004,0.38999999999999996,0.11600000000000002,0.354,0.052000000000000005
32,191,한국도로공사,17.2,0.8440000000000001,0.514,0.38,0.126,0.36000000000000004,0.06799999999999999
36,192,IBK기업은행,21.8,0.8379999999999999,0.404,0.378,0.10600000000000001,0.344,0.05
33,193,한국도로공사,16.4,0.826,0.492,0.39799999999999996,0.126,0.372,0.06000000000000001
30,194,GS칼텍스,19.8,0.826,0.40800000000000003,0.41200000000000003,0.168,0.38000000000000006,0.064
33,195,현대건설,21.2,0.8320000000000001,0.36000000000000004,0.324,0.13,0.298,0.062
30,196,KGC인삼공사,20.4,0.8219999999999998,0.422,0.338,0.10600000000000001,0.30800000000000005,0.041999999999999996
30,197,흥국생명,22.2,0.8539999999999999,0.44000000000000006,0.34,0.096,0.318,0.052000000000000005
37,198,IBK기업은행,21.2,0.828,0.42400000000000004,0.40800000000000003,0.092,0.374,0.04
34,199,현대건설,19.6,0.8219999999999998,0.346,0.32599999999999996,0.12,0.292,0.06000000000000001
31,200,GS칼텍스,19.6,0.834,0.386,0.42000000000000004,0.192,0.382,0.072
31,201,흥국생명,21.2,0.8560000000000001,0.4699999999999999,0.35200000000000004,0.12,0.33399999999999996,0.048
31,202,KGC인삼공사,17.2,0.808,0.4640000000000001,0.328,0.10800000000000001,0.29600000000000004,0.05
34,203,한국도로공사,18.0,0.8160000000000001,0.48600000000000004,0.392,0.124,0.37,0.054000000000000006
35,204,현대건설,18.0,0.82,0.322,0.33399999999999996,0.12,0.298,0.06000000000000001
32,205,흥국생명,19.4,0.8559999999999999,0.43200000000000005,0.35000000000000003,0.11399999999999999,0.334,0.05
32,206,GS칼텍스,19.2,0.842,0.418,0.42000000000000004,0.17800000000000002,0.374,0.07800000000000001
35,207,한국도로공사,19.8,0.8380000000000001,0.49399999999999994,0.4,0.11599999999999999,0.374,0.046
33,208,GS칼텍스,18.6,0.86,0.396,0.422,0.182,0.36800000000000005,0.086
32,209,KGC인삼공사,18.8,0.8139999999999998,0.46799999999999997,0.35,0.12200000000000003,0.31799999999999995,0.046
36,210,한국도로공사,19.0,0.8400000000000001,0.506,0.374,0.11599999999999999,0.35,0.06
36,211,현대건설,18.4,0.8480000000000001,0.33999999999999997,0.34,0.118,0.302,0.05800000000000001
38,212,IBK기업은행,19.6,0.826,0.41,0.42400000000000004,0.128,0.394,0.038
33,213,흥국생명,20.0,0.8560000000000001,0.45,0.34800000000000003,0.12,0.33,0.05
33,214,KGC인삼공사,17.6,0.8240000000000001,0.488,0.368,0.138,0.344,0.054000000000000006
37,215,현대건설,18.2,0.8539999999999999,0.346,0.34600000000000003,0.11399999999999999,0.308,0.05
34,216,GS칼텍스,16.0,0.844,0.388,0.422,0.162,0.372,0.068
39,217,IBK기업은행,18.4,0.82,0.41999999999999993,0.426,0.14,0.4,0.041999999999999996
37,218,한국도로공사,20.6,0.8539999999999999,0.47400000000000003,0.362,0.11200000000000002,0.336,0.057999999999999996
34,219,흥국생명,19.8,0.8440000000000001,0.454,0.338,0.13,0.32,0.054000000000000006
40,220,IBK기업은행,20.2,0.836,0.42200000000000004,0.40599999999999997,0.13799999999999998,0.382,0.046
34,221,KGC인삼공사,17.2,0.834,0.476,0.364,0.138,0.338,0.052000000000000005
35,222,GS칼텍스,16.6,0.852,0.41400000000000003,0.41200000000000003,0.13600000000000004,0.36400000000000005,0.06799999999999999
35,223,KGC인삼공사,16.6,0.8280000000000001,0.47400000000000003,0.41,0.148,0.384,0.054000000000000006
38,224,한국도로공사,23.0,0.8640000000000001,0.508,0.358,0.10400000000000001,0.328,0.05600000000000001
38,225,현대건설,21.2,0.868,0.356,0.36000000000000004,0.10600000000000001,0.318,0.05
39,226,한국도로공사,24.6,0.8799999999999999,0.516,0.35600000000000004,0.10600000000000001,0.32200000000000006,0.052000000000000005
39,227,현대건설,21.0,0.8700000000000001,0.374,0.364,0.11000000000000001,0.324,0.047999999999999994
36,228,GS칼텍스,14.6,0.8280000000000001,0.41800000000000004,0.43,0.13,0.382,0.06799999999999999
35,229,흥국생명,18.2,0.8300000000000001,0.45600000000000007,0.354,0.11400000000000002,0.33799999999999997,0.044
41,230,IBK기업은행,20.6,0.8299999999999998,0.422,0.418,0.126,0.392,0.041999999999999996
36,231,KGC인삼공사,17.8,0.844,0.446,0.41600000000000004,0.13799999999999998,0.39,0.048
40,232,현대건설,20.6,0.852,0.41,0.364,0.12799999999999997,0.32600000000000007,0.046
36,233,흥국생명,17.8,0.82,0.42800000000000005,0.362,0.10600000000000001,0.34199999999999997,0.052000000000000005
42,234,IBK기업은행,20.2,0.834,0.434,0.396,0.134,0.376,0.048
40,235,한국도로공사,22.0,0.858,0.53,0.378,0.11599999999999999,0.34199999999999997,0.066
37,236,KGC인삼공사,17.8,0.8300000000000001,0.44400000000000006,0.404,0.132,0.382,0.04
37,237,흥국생명,16.6,0.8180000000000002,0.4619999999999999,0.368,0.142,0.34800000000000003,0.044
37,238,GS칼텍스,16.2,0.828,0.39999999999999997,0.42400000000000004,0.12200000000000003,0.382,0.06
43,239,IBK기업은행,22.2,0.8220000000000001,0.44799999999999995,0.37999999999999995,0.10400000000000001,0.36199999999999993,0.044
41,240,한국도로공사,21.2,0.8440000000000001,0.54,0.4,0.10800000000000001,0.364,0.052000000000000005
38,241,흥국생명,15.8,0.8299999999999998,0.45,0.376,0.14,0.356,0.042
44,242,IBK기업은행,23.2,0.8320000000000001,0.44000000000000006,0.372,0.11000000000000001,0.35,0.046
41,243,현대건설,20.0,0.8280000000000001,0.422,0.37,0.134,0.33199999999999996,0.04
38,244,GS칼텍스,18.4,0.8099999999999999,0.41200000000000003,0.406,0.11400000000000002,0.37,0.048
38,245,KGC인삼공사,16.6,0.8080000000000002,0.434,0.384,0.11200000000000002,0.35400000000000004,0.028000000000000004
39,246,GS칼텍스,19.8,0.8140000000000001,0.41800000000000004,0.426,0.13999999999999999,0.386,0.05600000000000001
45,247,IBK기업은행,19.4,0.8299999999999998,0.45600000000000007,0.4,0.138,0.378,0.044
42,248,한국도로공사,19.8,0.8300000000000001,0.568,0.406,0.11399999999999999,0.372,0.052000000000000005
39,249,흥국생명,18.0,0.8480000000000001,0.43600000000000005,0.39,0.132,0.368,0.04
39,250,KGC인삼공사,16.2,0.79,0.43200000000000005,0.388,0.10600000000000001,0.36000000000000004,0.024
42,251,현대건설,17.0,0.792,0.438,0.384,0.148,0.34,0.036000000000000004
40,252,GS칼텍스,18.4,0.806,0.442,0.434,0.142,0.39399999999999996,0.062
40,253,흥국생명,18.6,0.852,0.46399999999999997,0.39,0.148,0.368,0.05
43,254,한국도로공사,19.0,0.8240000000000001,0.548,0.384,0.10600000000000001,0.356,0.04
43,255,현대건설,15.4,0.768,0.45,0.386,0.15199999999999997,0.34800000000000003,0.028000000000000004
41,256,GS칼텍스,19.4,0.818,0.446,0.382,0.134,0.35,0.05
46,257,IBK기업은행,19.2,0.842,0.476,0.39799999999999996,0.152,0.376,0.044
40,258,KGC인삼공사,16.2,0.7959999999999999,0.446,0.35799999999999993,0.10800000000000001,0.326,0.026000000000000002
44,259,현대건설,16.4,0.772,0.45,0.364,0.156,0.33199999999999996,0.024
47,260,IBK기업은행,16.8,0.85,0.46399999999999997,0.41,0.156,0.382,0.038
41,261,흥국생명,17.6,0.868,0.476,0.376,0.16799999999999998,0.356,0.048
41,262,KGC인삼공사,14.8,0.8119999999999999,0.462,0.33199999999999996,0.11399999999999999,0.302,0.026000000000000002
44,263,한국도로공사,16.2,0.8220000000000001,0.5519999999999999,0.392,0.10800000000000001,0.364,0.046
48,264,IBK기업은행,16.0,0.8620000000000001,0.488,0.398,0.154,0.37200000000000005,0.036
42,265,KGC인삼공사,16.2,0.818,0.46799999999999997,0.31399999999999995,0.11200000000000002,0.27799999999999997,0.028000000000000004
45,266,한국도로공사,17.0,0.8539999999999999,0.5539999999999999,0.39,0.094,0.368,0.030000000000000006
42,267,흥국생명,19.8,0.874,0.47000000000000003,0.37,0.13599999999999998,0.348,0.05800000000000001
45,268,현대건설,16.6,0.8019999999999999,0.45,0.354,0.15,0.32599999999999996,0.019999999999999997
43,269,흥국생명,20.2,0.866,0.508,0.366,0.13,0.346,0.05600000000000001
42,270,GS칼텍스,18.0,0.8200000000000001,0.438,0.358,0.14,0.32799999999999996,0.05
43,271,KGC인삼공사,18.2,0.8400000000000001,0.45599999999999996,0.284,0.10800000000000001,0.25199999999999995,0.026000000000000002
43,272,GS칼텍스,15.6,0.8219999999999998,0.454,0.372,0.14200000000000002,0.34199999999999997,0.046
49,273,IBK기업은행,14.0,0.8720000000000001,0.5119999999999999,0.386,0.13999999999999999,0.36200000000000004,0.03200000000000001
46,274,한국도로공사,17.4,0.868,0.572,0.378,0.1,0.354,0.028000000000000004
46,275,현대건설,19.6,0.818,0.45,0.36400000000000005,0.13799999999999998,0.334,0.026000000000000002
50,276,IBK기업은행,15.4,0.8719999999999999,0.48,0.356,0.10999999999999999,0.334,0.044
47,277,현대건설,21.6,0.858,0.45999999999999996,0.358,0.13,0.33,0.028000000000000004
44,278,GS칼텍스,14.6,0.828,0.454,0.35,0.13999999999999999,0.322,0.046
47,279,한국도로공사,17.8,0.8819999999999999,0.564,0.38,0.10400000000000001,0.36,0.032
44,280,KGC인삼공사,20.2,0.8560000000000001,0.4800000000000001,0.28200000000000003,0.12000000000000002,0.248,0.026000000000000002
