index,경기번호,경기날짜,팀명,홈_어웨이,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,득점점유율,스타팅멤버,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점,상대팀
32,17,2017-11-02,대한항공,0,1,84,152,67,12,13,0.44,42,16,3,6,0.38,9,3,1,1,0.33,0,0,0,0,0.0,36,17,2,4,0.47,12,6,2,0,0.5,53,25,4,2,0.47,121,2,22,0.02,84,69,15,0,15.2,157,64,1,17.65,101,51,3,9.6,95,15,38,32,1,3.05,13,0,37,0.9999999999999998,6,0,0.82,0.41,0.5,0.16,122,112,한국전력
33,17,2017-11-02,한국전력,1,0,75,158,60,15,22,0.38,93,34,6,16,0.37,0,0,0,0,0.0,0,0,0,0,0.0,38,16,5,4,0.42,11,3,1,0,0.27,16,7,3,2,0.44,113,3,12,0.03,91,71,19,1,14.2,162,57,1,11.4,99,49,2,9.4,78,12,26,29,2,2.4,6,0,38,1.0,6,5,0.78,0.35,0.49,0.15,112,122,대한항공
34,18,2017-11-03,삼성화재,1,1,77,119,60,11,9,0.5,64,34,4,4,0.53,3,1,1,0,0.33,1,1,0,0,1.0,26,13,3,4,0.5,14,6,2,0,0.43,11,5,1,1,0.45,96,7,12,0.07,54,45,9,0,11.25,115,53,1,13.25,83,49,7,10.5,41,10,13,10,1,2.5,5,0,23,0.9999999999999996,6,3,0.83,0.46,0.59,0.24,105,95,현대캐피탈
35,18,2017-11-03,현대캐피탈,0,0,70,109,52,10,11,0.48,36,10,7,5,0.28,4,3,0,0,0.75,0,0,0,0,0.0,35,19,2,3,0.54,18,9,1,2,0.5,16,11,0,1,0.69,90,7,13,0.08,54,43,11,0,11.42,117,50,2,12.5,91,56,7,12.92,56,11,9,29,0,2.75,8,0,26,0.9999999999999996,6,1,0.8,0.43,0.62,0.2,95,105,삼성화재
36,19,2017-11-04,KB손해보험,0,1,72,110,57,6,9,0.52,38,13,3,6,0.34,6,5,0,0,0.83,1,0,0,1,0.0,24,15,2,1,0.62,11,6,0,0,0.55,30,18,1,1,0.6,90,6,22,0.07,48,43,5,0,8.98,86,43,0,8.65,71,40,4,8.98,43,9,11,16,0,1.85,7,0,31,0.9999999999999996,6,2,0.9,0.5,0.56,0.21,103,99,OK저축은행
37,19,2017-11-04,OK저축은행,1,0,61,96,45,10,6,0.47,31,10,4,1,0.32,8,4,1,1,0.5,0,0,0,0,0.0,18,9,2,2,0.5,17,10,1,2,0.59,22,12,2,0,0.55,95,8,13,0.08,57,40,16,1,8.26,103,42,1,8.4,76,35,8,5.73,45,8,13,13,2,1.6,7,0,23,0.9999999999999996,6,4,0.7,0.41,0.46,0.18,99,103,KB손해보험
38,20,2017-11-05,우리카드,0,0,72,116,63,11,10,0.54,49,24,4,6,0.49,3,2,0,0,0.67,0,0,0,0,0.0,28,15,5,2,0.54,11,9,0,0,0.82,25,13,2,2,0.52,91,6,20,0.07,44,38,6,0,9.5,117,62,2,15.67,90,37,8,7.33,48,3,14,24,4,0.75,2,0,36,0.9999999999999996,6,6,0.86,0.53,0.41,0.06,92,106,한국전력
39,20,2017-11-05,한국전력,1,1,67,91,47,3,7,0.52,46,21,2,2,0.46,1,1,0,0,1.0,0,0,0,0,0.0,20,11,0,4,0.55,11,6,1,0,0.55,13,8,0,1,0.62,101,8,12,0.08,41,31,10,0,8.41,96,47,1,11.75,68,35,3,8.33,55,12,13,24,0,3.16,11,0,20,0.9999999999999996,4,5,0.76,0.49,0.51,0.22,106,92,우리카드
40,21,2017-11-07,대한항공,1,0,27,41,20,1,5,0.49,9,4,1,1,0.44,1,1,0,0,1.0,0,0,0,0,0.0,5,2,0,2,0.4,9,5,0,0,0.56,17,8,0,2,0.47,43,2,3,0.05,26,17,9,0,5.66,66,29,1,9.67,29,16,2,4.66,34,5,9,13,2,1.6700000000000002,4,0,11,0.9999999999999998,4,0,0.65,0.44,0.55,0.15,61,75,삼성화재
41,21,2017-11-07,삼성화재,0,1,58,81,44,6,4,0.54,35,18,3,2,0.51,8,6,1,0,0.75,0,0,0,0,0.0,23,11,1,2,0.48,10,6,0,0,0.6,5,3,1,0,0.6,67,4,10,0.06,38,29,9,0,9.67,79,39,0,13.0,57,34,3,10.67,35,10,5,16,0,3.3200000000000003,8,0,14,0.9999999999999996,6,3,0.76,0.49,0.6,0.29,75,61,대한항공
